(17469, 713.63989, 4, 2851.53774)	isSL	4.44	(528.3029, 2, 17471, 0.37)	(889.9653, 2, 17473)
(17730, 1065.09827, 5, 5321.46222)	isSS	1.87	(1277.2477, 3, 17736, 1.27)	(721.8779, 2, 17737, 2.17)
(18007, 1065.29712, 5, 5322.45648)	isSS	2.03	(1277.2441, 3, 18010, 0.83)	(722.38, 2, 18011, 2.57)
(18210, 1033.87659, 5, 5165.35382)	isSS	0.88	(1225.2131, 3, 18215, 0.22)	(721.8783, 2, 18216, 0.41)
(18471, 905.97589, 4, 3620.88173)	isSS	2.83	(1188.0905, 2, 18477, 0.25)	(598.8649, 2, 18478, 1.14)
(18621, 1435.4729, 4, 5738.86977)	isSS	8.55	(1037.9932, 2, 18623, 1.42)	(1807.9368, 2, 18625, 1.7)
(19093, 1061.69629, 5, 5304.45233)	isSS	3.29	(464.7484, 2, 19095, 2.08)	(1442.9949, 3, 19097, 1.42)
(19359, 1059.73584, 5, 5294.65009)	isSS	4.74	(815.892, 2, 19364, 0.12)	(1205.6292, 3, 19367, 4.22)
(19863, 944.95209, 6, 5664.67613)	isSS	1.98	(1143.5369, 4, 19866, 0.35)	(522.7856, 2, 19867, 2.23)
(21204, 1167.27942, 3, 3499.8237)	isSS	4.96	(1127.5583, 2, 21208, 0.52)	(598.8648, 2, 21209, 0.33)
(21223, 875.71118, 4, 3499.82289)	isSS	3.83	(598.8657, 2, 21225, 0.16)	(1127.5587, 2, 21228, 0.26)
(21357, 881.45636, 4, 3522.8036)	isSS	3.56	(1138.5487, 2, 21360, 0.43)	(599.3665, 2, 21362, 0.65)
(21532, 875.71149, 4, 3499.82411)	isSS	1.79	(598.8654, 2, 21537, 0.16)	(1127.5632, 2, 21540, 3.41)
(21657, 1012.27692, 4, 4046.08583)	isSS	5.23	(871.993, 2, 21662, 0.11)	(1127.559, 2, 21665, 0.09)
(21808, 1228.0813, 4, 4909.30336)	isSS	0.39	(1138.5505, 2, 21810, 0.52)	(1292.6199, 2, 21812, 0.46)
(21833, 1108.13257, 5, 5536.63373)	isSS	0.3	(1452.2188, 2, 21839, 3.61)	(1292.6183, 2, 21840, 0.76)
(21852, 1236.06836, 4, 4941.2516)	isSS	4.24	(1292.6183, 2, 21857, 0.31)	(1154.5167, 2, 21859, 0.6)
(21980, 1012.02411, 4, 4045.0746)	isSS	3.79	(871.4918, 2, 21982, 0.9)	(1127.5575, 2, 21985, 1.22)
(22153, 1236.84485, 4, 4944.35756)	isSS	5.68	(1292.6176, 2, 22155, 0.38)	(1156.0668, 2, 22158, 3.41)
(22163, 1188.00476, 5, 5935.99469)	isSS	6.53	(1127.5591, 2, 22166, 0.17)	(1211.6281, 3, 22168, 1.61)
(22418, 1187.80444, 5, 5934.9931)	isSS	6.2	(1127.0575, 2, 22421, 0.7)	(1211.6293, 3, 22422, 0.11)
(22958, 1384.66687, 4, 5535.64565)	isSS	1.22	(1292.6211, 2, 22961, 2.75)	(1451.718, 2, 22963, 2.32)
(23283, 1229.32019, 4, 4914.25893)	isSS	1.23	(1295.0962, 2, 23285, 0.0)	(1138.5499, 2, 23287, 0.35)
(23400, 1231.81189, 4, 4924.22572)	isSS	6.55	(1311.559, 2, 23403, 7.46)	(1127.0574, 2, 23405, 4.02)
