10263	(10263, 630.94092, 3, 1890.8082)	(610.2629, 3, 10265)	(620.9368, 3, 10266)	(631.6071, 3, 10267)	(591.2637, 3, 10268)	(10267, 10268)	49318.87ppm
11980	(11980, 1055.73901, 4, 4219.93422)	(1009.1159, 3, 11982)	(1019.7745, 3, 11983)	(998.4535, 3, 11984)	(1020.1071, 3, 11985)	(11984, 11985)	10896.99ppm
13274	(13274, 1346.96094, 3, 4038.86826)	(1514.6881, 2, 13279)	(1530.6732, 2, 13280)	(1498.6964, 2, 13281)	(1302.0686, 2, 13282)	(13281, 13282)	137051.83ppm
15518	(15518, 1346.37512, 3, 4037.11081)	(1300.8561, 4, 15520)	(1292.8644, 4, 15521)	(1284.8739, 4, 15522)	(1271.619, 4, 15523)	(15522, 15523)	4112.11ppm
17282	(17282, 1449.39404, 3, 4346.16757)	(1505.215, 2, 17287)	(1521.2006, 2, 17288)	(1489.2301, 2, 17289)	(1277.105, 2, 17290)	(17289, 17290)	151682.36ppm
20440	(20440, 1345.349, 4, 5378.37416)	(1064.5198, 3, 20442)	(1075.1812, 3, 20443)	(1085.8348, 3, 20444)	(1149.8688, 3, 20445)	(20444, 20445)	48679.48ppm
21037	(21037, 1391.2262, 4, 5561.88295)	(1437.7444, 2, 21039)	(1453.7057, 2, 21040)	(1469.6837, 2, 21041)	(1414.2134, 2, 21042)	(21041, 21042)	27607.55ppm
22300	(22300, 1485.25586, 4, 5938.0016)	(1192.2834, 3, 22302)	(1181.62, 3, 22303)	(1170.9652, 3, 22304)	(1816.3452, 2, 22305)	(22304, 22305)	645.3799999999999
