mod, spec_num, cond_pep, spec_num/cond_pep,,, pep_num, pep_num/cond_pep
Xlink_DSS[156][K],10114,2780618,0.003637,1,,5879,0.002114
Xlink_DSS[156][S],507,7549617,0.000067,,,357,0.000047
Xlink_DSS[156][T],169,4839022,0.000035,,,120,0.000025
Xlink_DSS[156][Y],126,2435071,0.000052,0.014297498,,88,0.000036
,802,14823710,5.41025E-05,0.014875589,,565,0.000108
Xlink_DSS[156][G],94,5907871,0.000016,,,72,0.000012
Xlink_DSS[156][V],77,5507914,0.000014,,,64,0.000012
Xlink_DSS[156][L],61,9098184,0.000007,,,54,0.000006
,232,20513969,1.13094E-05,0.003109532,,190,0.00003
